job_offer_id,client_name,job_offer_name,job_tag,job_offer_areas,job_offer_skill_names,employee_count,established,job_offer_min_salary,job_offer_max_salary,avg_salary
186033,株式会社 フライウィール,シニアデータサイエンティスト,データサイエンティスト,"['東京都', 'フルリモート']","['SQL', 'Python', 'R', 'AWS', 'GCP']",93,2018-01-31 15:00:00,800,900.0,850.0
190971,株式会社 Rebase,データサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'Python', 'AWS', 'PostgreSQL', 'Azure', 'GCP']",46,2014-03-31 15:00:00,700,900.0,800.0
190971,株式会社 Rebase,データサイエンティスト,データサイエンティスト,['東京都'],"['SQL', 'Python', 'AWS', 'PostgreSQL', 'Azure', 'GCP']",46,2014-03-31 15:00:00,700,900.0,800.0
148397,株式会社 Curious Vehicle,クラウドエンジニア,その他,['東京都'],"['JavaScript', 'SQL', 'Python', 'Django', 'React', 'TypeScript', 'AWS', 'MySQL', 'TensorFlow', 'OpenCV', 'Keras', 'GCP', 'Flask', 'VR']",11,2008-03-31 15:00:00,400,650.0,525.0
290286,株式会社 SalesNow,LLMエンジニア,AIエンジニア,['フルリモート'],"['JavaScript', 'Python', 'AWS', 'Azure']",55,2019-07-31 15:00:00,600,900.0,750.0
285762,AMBL 株式会社,【自然言語処理アーキテクト】生成AI×業務課題解決！/リモート・フレックス可/将来のマネージャー・部長候補,その他,['東京都'],"['Python', 'Elasticsearch']",700,2001-02-28 15:00:00,650,1200.0,925.0
286893,株式会社 ジーニー,【JAPAN AI】Tech Lead / データエンジニア,データエンジニア,['東京都'],"['SQL', 'Python', 'React', 'Hadoop', 'TypeScript', 'AWS', 'Docker', 'Azure', 'Kubernetes', 'GCP', 'Spark']",877,2010-03-31 15:00:00,800,1400.0,1100.0
264244,株式会社 マネーフォワード,アナリティクスエンジニア_MFBCオープン求人,その他,['東京都'],['SQL'],2058,2012-04-30 15:00:00,600,1000.0,800.0
276270,株式会社 ブロードリーフ,【札幌勤務】モビリティ業界を支える！ 事業全体に影響を与えるデータエンジニア,データエンジニア,['北海道'],"['C', 'JavaScript', 'SQL', 'Java', 'Python', 'Scala', 'Hadoop', 'TypeScript', 'iOS', 'Android', 'AWS', 'Docker', 'HTML5', 'Nginx', 'Kubernetes', 'CSS3', 'Jenkins', 'Elasticsearch', 'Spring', 'Angular', 'GCP', 'Redis', 'Spark', 'HBase']",951,2009-08-31 15:00:00,600,1200.0,900.0
279827,株式会社 ビザスク,機械学習エンジニア（日本もしくはアメリカ在住）,AIエンジニア,"['東京都', '海外']","['C#', 'ASP', 'ASP.NET', 'SQL', 'Python', 'Azure', 'Processing']",520,2012-02-29 15:00:00,700,1500.0,1100.0
